Articulo,Precio,Año,Mes
2,750,2006,3
2,750,2006,4
2,750,2006,5
2,750,2006,6
2,750,2006,7
2,750,2006,8
2,750,2006,9
2,750,2006,10
2,750,2006,11
2,750,2006,12
2,750,2007,1
2,750,2007,2
2,750,2007,3
3,500,1998,11
3,500,1998,12
3,500,1999,1
3,500,1999,2
3,500,1999,3
3,500,1999,4
3,500,1999,5
3,500,1999,6
3,500,1999,7
3,500,1999,8
3,500,1999,9
3,500,1999,10
3,550,1999,11
3,550,1999,12
3,550,2000,1
3,550,2000,2
3,550,2000,3
3,550,2000,4
3,550,2000,5
3,550,2000,6
3,550,2000,7
3,550,2000,8
3,550,2000,9
3,550,2000,10
3,550,2000,11
3,550,2000,12
3,550,2001,1
3,550,2001,2
3,550,2001,3
3,550,2001,4
3,550,2001,5
3,550,2001,6
3,550,2001,7
3,550,2001,8
3,550,2001,9
3,550,2001,10
3,550,2001,11
3,550,2001,12
3,550,2002,1
3,550,2002,2
3,550,2002,3
3,550,2002,4
3,550,2002,5
3,550,2002,6
3,550,2002,7
3,550,2002,8
3,550,2002,9
3,650,2002,10
3,650,2002,11
3,650,2002,12
3,650,2003,1
3,650,2003,2
3,650,2003,3
3,650,2003,4
3,650,2003,5
3,650,2003,6
3,650,2003,7
3,650,2003,8
3,650,2003,9
3,650,2003,10
3,650,2003,11
3,650,2003,12
3,650,2004,1
3,650,2004,2
3,650,2004,3
3,650,2004,4
3,650,2004,5
3,650,2004,6
3,650,2004,7
3,650,2004,8
3,650,2004,9
3,750,2004,10
3,750,2004,11
3,750,2004,12
3,750,2005,1
3,750,2005,2
3,750,2005,3
3,750,2005,4
3,750,2005,5
3,750,2005,6
3,750,2005,7
3,750,2005,8
3,750,2005,9
3,750,2005,10
3,750,2005,11
3,750,2005,12
3,750,2006,1
3,750,2006,2
3,750,2006,3
3,750,2006,4
3,750,2006,5
3,750,2006,6
3,750,2006,7
3,750,2006,8
3,750,2006,9
3,750,2006,10
3,750,2006,11
3,750,2006,12
3,750,2007,1
3,750,2007,2
3,750,2007,3
4,700,1998,11
4,700,1998,12
4,700,1999,1
4,700,1999,2
4,700,1999,3
4,700,1999,4
4,700,1999,5
4,700,1999,6
4,700,1999,7
4,700,1999,8
4,700,1999,9
4,700,1999,10
4,770,1999,11
4,770,1999,12
4,770,2000,1
4,770,2000,2
4,770,2000,3
4,770,2000,4
4,770,2000,5
4,770,2000,6
4,770,2000,7
4,770,2000,8
4,770,2000,9
4,770,2000,10
4,770,2000,11
4,770,2000,12
4,770,2001,1
4,770,2001,2
4,770,2001,3
4,770,2001,4
4,770,2001,5
4,770,2001,6
4,770,2001,7
4,770,2001,8
4,770,2001,9
4,770,2001,10
4,770,2001,11
4,770,2001,12
4,770,2002,1
4,770,2002,2
4,770,2002,3
4,770,2002,4
4,770,2002,5
4,770,2002,6
4,770,2002,7
4,770,2002,8
4,770,2002,9
4,910,2002,10
4,910,2002,11
4,910,2002,12
4,910,2003,1
4,910,2003,2
4,910,2003,3
4,910,2003,4
4,910,2003,5
4,910,2003,6
4,910,2003,7
4,910,2003,8
4,910,2003,9
4,910,2003,10
4,910,2003,11
4,910,2003,12
4,910,2004,1
4,910,2004,2
4,910,2004,3
4,910,2004,4
4,910,2004,5
4,910,2004,6
4,910,2004,7
4,910,2004,8
4,910,2004,9
4,1050,2004,10
4,1050,2004,11
4,1050,2004,12
4,1050,2005,1
4,1050,2005,2
4,1050,2005,3
4,1050,2005,4
4,1050,2005,5
4,1050,2005,6
4,1050,2005,7
4,1050,2005,8
4,1050,2005,9
4,1050,2005,10
4,1050,2005,11
4,1050,2005,12
4,1050,2006,1
4,1050,2006,2
4,1050,2006,3
4,1050,2006,4
4,1050,2006,5
4,1050,2006,6
4,1050,2006,7
4,1050,2006,8
4,1050,2006,9
4,1050,2006,10
4,1050,2006,11
4,1050,2006,12
4,1050,2007,1
4,1050,2007,2
4,1050,2007,3
5,500,1998,11
5,500,1998,12
5,500,1999,1
5,500,1999,2
5,500,1999,3
